Type of res.,Res. Name,Date,Description,Link,Key words
book,The Prof Is In,08/13/1994,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,white flight; race; property
article,Slavery After Res,08/18/1996,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,municipal zoning; urban renewal
article,The Prof Is In,08/14/1993,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,white flight; urban renewal
website,Slavery After Res,07/22/46,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,race
video,The Prof Is In,11/13/14,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,property; zoning
video,Slavery After Res,07/22/46,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,white flight; race; property
image,The Prof Is In,11/13/14,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,municipal zoning; urban renewal
book,Slavery After Res,08/18/1996,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,white flight; urban renewal
image,The Prof Is In,08/14/1993,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,race
article,Slavery After Res,07/22/46,lorum ipsum,https://docs.github.com/en/repositories/working-with-files/managing-files/adding-a-file-to-a-repository,property
